calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,General_category
182.0,1.7,0.3,0.0,7.0,0.0,54.0,0.0,6.0,0.16,0.09,0.22,558.0,28.0,0.0,0.0,0.0,0.0,0.0,0.328,15.0,0.0,0.0,0.0,0.0,2.0,0.274,1.0,27.0,0.113,124.0,510.0,0.0,0.34,4.32,0.247,0.42,0.543,0.023,0.836,0.232,0.102,0.0,0.209,0.316,0.206,0.055,0.171,0.347,0.29,0.268,0.071,0.061,0.283,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.319,0.619,0.618,0.0,0.0,1.2,0.0,0.0,55.2,plant food product
272.0,5.9,3.3,0.0,24.0,0.0,0.0,0.0,4.08,0.0,0.0,0.366,5130.0,257.0,0.0,0.0,0.0,0.0,0.0,1.81,50.0,0.0,0.0,0.0,0.0,2132.0,0.847,37.88,377.0,6.1,140.0,1051.0,4.6,4.3,6.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.73,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,3.26,0.0,0.0,0.0,0.0,9.63,0.0,0.0,9.0,plant food product
201.0,15.0,9.1,54.0,359.0,12.1,19.0,0.0,0.125,0.845,0.185,0.04,552.0,161.0,0.0,11.0,0.0,0.0,0.92,0.045,0.0,11.0,0.27,0.27,1.1,148.0,0.032,0.17,8.0,0.011,152.0,247.0,4.0,0.57,7.85,0.243,0.311,0.68,0.055,1.725,0.187,0.232,0.0,0.429,0.869,0.75,0.252,0.384,0.88,0.495,0.308,0.091,0.401,0.522,8.13,0.0,5.82,0.0,0.0,0.0,5.82,0.0,0.0,15.28,9.098,3.996,0.658,54.0,0.0,2.03,0.0,0.0,66.72,animal food product
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,90.7,food product component
270.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.081,0.0,1.27,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.11,21.0,2.3,0.0,225.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.38,0.0,59.92,0.34,0.0,0.65,0.0,0.0,58.93,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,32.15,food product component
268.0,0.4,0.1,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.058,0.093,0.232,0.0,0.0,1.3,0.0,0.0,3.5,food product by meal type
673.0,68.0,4.9,0.0,2.0,55.8,34.0,0.0,4.387,0.313,0.227,0.364,29.0,1.0,0.0,17.0,0.0,9.0,0.0,0.094,0.8,0.0,9.33,9.33,53.9,16.0,1.324,5.53,251.0,8.802,575.0,597.0,0.7,6.45,13.69,0.684,2.413,1.303,0.289,2.926,0.691,0.341,0.0,0.542,0.991,0.54,0.259,0.524,0.673,0.835,0.37,0.107,0.509,0.687,13.08,3.7,3.59,0.07,0.0,0.07,0.0,0.0,3.45,68.37,4.899,18.764,34.071,0.0,0.0,2.59,0.0,0.0,2.28,plant food product
271.0,16.0,2.3,0.0,580.0,0.0,12.0,0.0,1.733,0.345,0.032,0.127,2.0,0.0,0.0,1.0,0.0,17.0,0.0,0.18,5.6,0.0,2.14,2.14,0.0,19.0,0.093,0.56,20.0,0.153,99.0,341.0,0.4,0.34,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.56,2.8,0.54,0.24,0.0,0.3,0.0,0.0,0.0,16.3,2.327,8.055,5.065,0.0,0.0,2.25,0.0,0.0,50.42,plant food product
576.0,50.0,5.7,0.0,38.0,0.0,113.0,0.0,0.877,0.925,0.371,0.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,15.5,0.0,0.0,0.0,0.0,1.0,0.67,2.46,0.0,1.341,0.0,1017.0,0.0,0.36,6.2,0.414,0.443,1.071,0.197,0.8,0.319,0.172,0.0,0.245,0.367,0.367,0.146,0.262,0.326,0.31,0.221,0.069,0.172,0.346,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.719,21.892,20.089,0.0,0.0,3.7,0.0,0.0,6.6,plant food product
283.0,0.3,0.0,0.0,8.0,10.6,10.0,0.0,1.615,0.045,0.142,0.16,73.0,4.0,1.0,43.0,1.0,0.0,0.0,0.296,4.7,0.0,0.11,0.11,3.3,86.0,0.468,3.26,41.0,0.469,125.0,892.0,0.7,0.66,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.08,6.8,67.28,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.028,0.047,0.18,0.0,0.0,2.36,0.0,0.0,19.21,plant food product
106.0,0.6,0.1,0.0,11.0,0.0,100.0,0.0,1.128,0.578,0.128,0.228,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.19,16.5,0.0,0.0,0.0,0.0,25.0,0.352,3.21,37.0,0.506,173.0,322.0,0.6,1.51,8.96,0.356,0.611,1.433,0.334,1.258,0.319,0.257,0.0,0.326,0.628,0.712,0.105,0.442,0.356,0.495,0.328,0.0,0.252,0.399,22.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.057,0.104,0.219,0.0,0.0,1.0,0.0,0.0,67.34,plant food product
316.0,16.0,2.5,0.0,333.0,7.2,18.0,15.0,1.425,0.11,0.106,0.141,27.0,5.0,0.0,5.0,5.0,8.0,0.08,0.03,1.3,0.0,1.72,1.72,4.1,22.0,0.047,1.22,10.0,0.224,43.0,65.0,2.4,0.23,3.0,0.093,0.112,0.156,0.059,0.906,0.098,0.062,0.0,0.12,0.211,0.121,0.052,0.138,0.314,0.154,0.089,0.042,0.09,0.138,42.6,2.6,21.4,0.0,0.0,0.0,0.0,0.0,0.0,16.1,2.457,7.449,5.376,0.0,0.0,1.1,0.0,0.0,37.6,multi-component food product
383.0,11.0,3.8,0.0,447.0,39.8,28.0,0.0,0.858,1.104,0.285,0.283,97.0,27.0,0.0,6.0,0.0,104.0,0.51,0.116,0.6,2.0,0.29,0.29,1.6,105.0,0.244,1.89,91.0,1.963,343.0,446.0,19.8,2.64,13.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.84,7.9,26.32,0.0,0.0,0.0,0.0,0.0,0.0,10.53,3.846,2.897,2.058,0.0,0.0,1.97,0.0,0.0,15.52,plant food product
47.0,0.0,0.0,0.0,8.0,2.6,4.0,0.0,0.3,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,33.8,0.0,0.09,0.09,3.4,12.0,0.065,0.0,8.0,0.0,12.0,130.0,0.4,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.86,0.1,7.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,87.9,plant food product
876.0,99.0,62.0,256.0,2.0,22.3,0.0,0.0,0.003,0.01,0.005,0.001,3069.0,840.0,0.0,193.0,0.0,0.0,0.01,0.001,0.0,0.0,2.8,2.8,8.6,4.0,0.001,0.0,0.0,0.0,3.0,5.0,0.0,0.01,0.28,0.01,0.01,0.021,0.003,0.059,0.006,0.008,0.0,0.017,0.027,0.022,0.007,0.014,0.027,0.015,0.013,0.004,0.014,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.48,61.924,28.732,3.694,256.0,0.0,0.0,0.0,0.0,0.24,animal food product
424.0,5.3,0.9,0.0,149.0,0.0,124.0,0.0,4.34,0.0,0.33,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.05,0.05,0.0,0.0,0.0,3.0,15.0,0.0,80.0,100.0,0.0,0.7,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7,1.8,31.6,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.86,1.86,1.35,0.0,0.0,0.0,0.0,0.0,2.0,plant food product
424.0,5.3,0.9,0.0,149.0,0.0,124.0,0.0,4.34,0.0,0.33,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.05,0.05,0.0,0.0,0.0,3.0,15.0,0.0,80.0,100.0,0.0,0.7,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7,1.8,31.6,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.86,1.86,1.35,0.0,0.0,0.0,0.0,0.0,2.0,plant food product
28.0,0.4,0.1,0.0,27.0,0.0,71.0,0.0,0.638,0.535,0.119,0.065,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,93.2,0.0,0.0,0.0,0.0,48.0,0.045,0.88,25.0,0.229,66.0,325.0,3.0,0.4,2.98,0.118,0.145,0.213,0.02,0.375,0.095,0.05,0.0,0.109,0.131,0.141,0.034,0.084,0.114,0.1,0.091,0.029,0.063,0.128,5.06,2.3,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.054,0.024,0.167,0.0,0.0,0.92,0.0,0.0,90.69,plant food product
147.0,5.3,0.0,0.0,2.0,0.0,36.0,0.0,1.074,0.23,0.2,0.374,44.0,2.0,6.0,23.0,0.0,0.0,0.0,0.316,19.7,0.0,0.0,0.0,0.0,6.0,0.207,0.43,30.0,0.325,39.0,436.0,0.0,0.28,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.09,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,64.99,animal food product
410.0,6.4,2.0,258.0,281.0,0.0,30.0,0.0,0.32,2.238,0.412,0.145,217.0,63.0,0.0,0.0,0.0,0.0,1.17,0.216,0.4,0.0,0.0,0.0,0.0,228.0,0.046,1.93,45.0,0.02,332.0,540.0,16.6,1.05,6.9,0.341,0.361,0.681,0.13,1.031,0.185,0.156,0.0,0.368,0.623,0.553,0.153,0.261,0.351,0.475,0.401,0.094,0.257,0.381,82.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,2.03,2.4,0.85,258.0,0.0,2.2,0.0,0.0,1.7,food product component
428.0,22.0,3.0,0.0,1.0,0.0,133.0,0.0,11.499,1.543,0.172,0.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.0,0.0,0.0,0.0,0.0,130.0,2.039,4.74,48.0,4.231,508.0,1358.0,7.1,5.99,33.8,1.343,4.042,4.123,0.433,7.063,2.037,0.854,0.0,1.188,2.191,1.213,0.415,1.752,1.492,1.665,1.158,0.328,1.374,1.418,31.27,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,3.04,10.866,6.921,0.0,0.0,5.23,0.0,0.0,7.8,food product component
374.0,22.0,6.8,23.0,417.0,20.1,60.0,35.0,2.0,0.304,0.26,0.19,128.0,35.0,0.0,8.0,0.0,38.0,0.2,0.04,0.1,2.0,0.35,0.35,6.9,35.0,0.089,1.8,15.0,0.351,108.0,98.0,18.9,0.7,8.0,0.292,0.324,0.511,0.137,2.021,0.239,0.205,0.0,0.371,0.644,0.43,0.174,0.402,0.717,0.428,0.293,0.089,0.293,0.412,37.2,1.0,6.95,0.0,0.0,0.0,0.0,0.0,0.0,21.9,6.794,11.313,2.575,23.0,0.0,1.5,0.0,0.0,31.4,animal food product
331.0,0.7,0.2,0.0,60.0,67.5,47.0,0.0,0.796,0.743,0.141,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.654,1.2,0.0,0.67,0.67,0.4,79.0,0.533,5.65,77.0,0.979,414.0,1193.0,23.9,2.99,16.55,0.485,3.365,1.89,0.253,3.658,0.525,0.263,0.0,0.414,0.728,0.768,0.111,0.525,1.354,0.505,0.374,0.121,0.445,0.667,72.73,9.0,2.43,0.31,0.0,0.07,0.0,0.0,2.05,0.73,0.249,0.115,0.178,0.0,0.0,3.54,0.0,0.0,6.45,plant food product
103.0,2.8,0.0,0.0,34.0,0.0,112.0,0.0,4.674,1.356,0.137,0.033,3598.0,180.0,0.0,0.0,0.0,0.0,0.0,0.632,2.2,0.0,0.0,0.0,0.0,429.0,0.32,2.4,156.0,6.704,108.0,494.0,0.9,2.66,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.22,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,2.54,0.0,0.0,70.78,plant food product
147.0,5.8,2.7,68.0,1078.0,81.6,6.0,0.0,4.26,0.265,0.161,0.052,42.0,2.0,0.0,22.0,6.0,11.0,1.87,0.221,0.3,4.0,0.12,0.12,0.7,10.0,0.091,2.22,17.0,0.027,175.0,210.0,17.7,4.98,21.8,1.303,1.39,1.955,0.277,3.221,1.306,0.684,0.225,0.976,1.706,1.812,0.558,0.847,1.022,0.845,0.857,0.141,0.683,1.065,0.36,0.0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,5.82,2.681,2.118,0.145,68.0,0.0,3.4,0.0,0.0,69.53,animal food product
216.0,11.0,6.8,34.0,76.0,22.5,16.0,0.0,0.226,0.554,0.194,0.042,416.0,118.0,0.0,19.0,0.0,0.0,0.29,0.055,0.7,8.0,0.3,0.3,0.3,109.0,0.135,0.93,29.0,0.14,107.0,249.0,2.5,0.58,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,1.2,25.36,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.8,3.21,0.41,34.0,0.0,1.0,3.0,62.0,55.7,food product by meal type
522.0,34.0,8.9,0.0,633.0,34.9,40.0,0.0,4.785,0.403,0.116,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,47.3,0.0,9.11,9.11,22.1,18.0,0.315,2.27,64.0,0.423,172.0,1237.0,8.1,0.99,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3,3.4,0.22,0.0,0.0,0.0,0.0,0.0,0.0,34.4,8.88,6.16,17.9,0.0,0.0,3.3,0.0,0.0,2.2,plant food product
36.0,0.2,0.0,0.0,430.0,0.0,19.0,0.0,1.08,0.0,0.03,0.05,550.0,28.0,0.0,0.0,0.0,0.0,0.0,0.149,4.0,0.0,0.0,0.0,0.0,12.0,0.096,2.24,16.0,0.0,30.0,270.0,0.4,0.17,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.029,0.016,0.107,0.0,0.0,1.6,0.0,0.0,89.7,food product component
28.0,0.4,0.1,0.0,27.0,0.0,71.0,0.0,0.638,0.535,0.119,0.065,400.0,20.0,0.0,0.0,0.0,0.0,0.0,0.159,93.2,0.0,0.0,0.0,0.0,48.0,0.045,0.88,25.0,0.229,66.0,325.0,3.0,0.4,2.98,0.118,0.145,0.213,0.02,0.375,0.095,0.05,0.0,0.109,0.131,0.141,0.034,0.084,0.114,0.1,0.091,0.029,0.063,0.128,5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.054,0.024,0.167,0.0,0.0,0.92,0.0,0.0,90.69,animal food product
198.0,19.0,10.0,59.0,31.0,19.2,6.0,0.0,0.093,0.472,0.168,0.02,447.0,124.0,0.0,25.0,1.0,4.0,0.21,0.041,0.9,0.0,0.38,0.38,1.5,101.0,0.018,0.07,10.0,0.015,76.0,125.0,3.7,0.33,2.44,0.116,0.117,0.262,0.029,0.673,0.076,0.092,0.0,0.163,0.322,0.275,0.078,0.157,0.31,0.191,0.142,0.042,0.152,0.195,4.63,0.0,3.41,0.0,0.0,0.0,3.41,0.0,0.0,19.35,10.14,4.594,0.8,59.0,0.0,0.51,0.0,0.0,73.07,plant food product
16.0,0.2,0.1,0.0,478.0,0.0,2.0,0.0,0.9,0.02,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,1.0,0.0,0.0,0.0,0.0,4.0,0.1,0.6,2.0,0.2,30.0,81.0,0.4,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.08,0.01,0.0,0.0,1.6,0.0,0.0,94.5,animal food product
352.0,28.0,17.0,123.0,534.0,15.4,18.0,0.0,0.06,0.21,0.24,0.014,1092.0,315.0,0.0,29.0,0.0,0.0,1.5,0.053,0.0,21.0,0.24,0.24,2.4,650.0,0.022,0.43,24.0,0.011,360.0,136.0,14.5,2.6,23.78,0.79,0.827,1.752,0.134,5.349,0.485,0.686,0.0,1.446,2.482,1.987,0.734,1.323,2.892,1.357,0.876,0.343,1.42,1.707,0.57,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,28.2,16.691,9.338,0.729,123.0,0.0,2.0,0.0,0.0,45.45,animal food product
133.0,6.7,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,72.95,plant food product
517.0,44.0,16.0,102.0,1420.0,0.0,2.0,0.0,4.867,1.06,0.285,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.5,0.0,0.0,0.0,0.0,1.6,14.0,0.08,1.86,17.0,0.038,142.0,385.0,26.1,3.23,29.1,1.48,1.516,2.073,0.262,3.383,1.641,0.699,0.0,0.971,1.732,1.824,0.593,0.868,1.188,0.942,0.959,0.21,0.71,1.083,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,44.2,16.0,21.9,4.3,102.0,0.0,4.3,0.0,0.0,21.6,animal food product
