calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,General_category
171.0,5.7,2.4,86.0,53.0,0.0,18.0,0.0,5.57,1.345,0.447,0.227,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.557,0.0,0.0,0.2,0.2,0.0,5.0,0.211,3.47,27.0,0.013,253.0,387.0,41.2,5.11,28.05,1.868,1.909,2.741,0.334,4.569,1.82,1.028,0.351,1.354,2.406,2.603,0.759,1.191,1.436,1.167,1.273,0.212,0.954,1.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,2.412,2.206,0.266,86.0,0.0,1.17,0.0,0.0,65.1,animal food product
283.0,13.0,5.0,28.0,663.0,0.0,0.0,0.0,2.053,0.537,0.125,0.143,152.0,46.0,0.0,0.0,0.0,0.0,0.55,0.16,0.9,0.0,0.77,0.77,5.0,209.0,0.108,0.9,28.0,0.305,213.0,268.0,24.1,1.64,13.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.67,2.8,0.0,1.35,0.0,1.31,0.0,0.97,0.0,12.86,4.973,4.354,1.827,28.0,0.0,2.88,0.0,0.0,42.38,animal food product
209.0,11.0,4.8,88.0,75.0,90.4,7.0,0.0,5.19,0.835,0.217,0.07,6.0,2.0,0.0,0.0,0.0,0.0,3.37,0.412,0.0,5.0,0.11,0.11,1.6,17.0,0.088,2.87,25.0,0.015,228.0,380.0,31.0,10.54,27.94,1.615,1.879,2.572,0.297,4.55,1.244,0.922,0.141,1.223,2.312,2.513,0.815,1.089,1.15,1.097,1.265,0.32,0.991,1.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.79,4.83,5.39,0.48,88.0,0.0,1.03,0.0,0.0,60.79,animal food product
216.0,16.0,6.6,68.0,68.0,65.3,3.0,0.0,4.377,0.656,0.143,0.078,15.0,4.0,0.0,0.0,0.0,0.0,2.64,0.405,0.0,4.0,0.14,0.14,1.5,14.0,0.062,2.14,20.0,0.009,184.0,342.0,19.7,7.36,18.86,1.076,1.242,1.692,0.198,2.983,0.861,0.611,0.129,0.802,1.517,1.649,0.536,0.718,0.775,0.725,0.83,0.212,0.65,0.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,6.644,7.381,0.689,68.0,0.0,0.89,0.0,0.0,65.24,animal food product
196.0,7.8,2.5,95.0,232.0,0.0,0.0,0.0,5.743,0.663,0.403,0.091,37.0,11.0,0.0,0.0,0.0,0.0,2.63,0.739,0.0,0.0,0.77,0.77,0.0,7.0,0.112,2.87,28.0,0.026,240.0,379.0,30.6,5.54,31.02,1.851,2.174,2.97,0.332,4.892,1.488,1.177,0.0,1.539,2.631,2.699,0.828,1.314,1.308,1.182,1.451,0.415,1.138,1.604,0.47,0.0,0.46,0.0,0.0,0.46,0.0,0.0,0.0,7.83,2.451,2.636,0.676,95.0,0.0,1.44,0.0,0.0,59.24,animal food product
165.0,6.0,1.8,128.0,104.0,95.8,9.0,0.0,6.685,1.015,0.375,0.06,18.0,5.0,0.0,0.0,0.0,0.0,1.65,0.438,0.0,10.0,0.07,0.07,0.0,17.0,0.127,1.43,27.0,0.016,212.0,227.0,31.4,3.51,27.71,1.498,1.569,2.216,0.262,3.758,1.182,0.751,0.0,0.794,1.921,2.287,0.725,0.893,1.497,1.098,1.007,0.295,0.823,0.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04,1.807,2.061,1.662,128.0,0.0,1.12,0.0,0.0,65.23,animal food product
238.0,13.0,4.6,96.0,76.0,0.0,12.0,0.0,4.081,1.834,0.39,0.092,40.0,12.0,0.0,0.0,0.0,0.0,0.49,0.47,0.0,0.0,0.0,0.0,0.0,14.0,0.276,2.87,25.0,0.024,309.0,388.0,25.5,3.17,28.97,1.835,1.849,2.837,0.445,4.533,1.622,0.765,0.0,1.488,2.447,2.48,0.783,1.214,1.423,1.247,1.238,0.403,1.103,1.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67,4.56,4.34,1.54,96.0,0.0,1.14,0.0,0.0,57.23,animal food product
71.0,1.0,0.2,0.0,231.0,0.0,30.0,0.0,1.012,0.0,0.04,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,24.0,0.108,1.09,18.0,0.222,65.0,105.0,0.0,0.68,4.33,0.35,0.18,0.304,0.067,0.857,0.157,0.117,0.0,0.137,0.54,0.407,0.1,0.201,0.544,0.241,0.13,0.04,0.167,0.204,11.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.17,0.085,0.449,0.0,0.0,1.01,0.0,0.0,81.89,animal food product
150.0,3.4,1.1,78.0,67.0,79.1,5.0,0.0,7.599,0.457,0.309,0.079,8.0,3.0,0.0,0.0,0.0,0.0,2.01,0.772,0.0,1.0,0.26,0.26,1.9,17.0,0.059,2.89,15.0,0.004,271.0,390.0,28.0,4.37,29.81,2.213,2.511,3.61,0.377,6.058,1.601,1.412,0.158,1.726,3.217,3.61,0.989,1.475,1.585,1.522,1.742,0.408,1.397,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,1.136,1.238,0.26,78.0,0.0,1.26,0.0,0.0,65.87,animal food product
367.0,25.0,3.9,64.0,120.0,68.1,11.0,0.0,6.52,0.727,0.364,0.011,1947.0,0.0,0.0,0.0,0.0,0.0,5.85,0.091,0.0,0.0,0.55,0.55,0.0,7.0,0.27,17.0,29.0,0.037,240.0,400.0,90.8,3.1,35.31,2.02,1.99,2.94,0.19,4.72,1.86,1.26,0.0,1.34,2.73,2.86,0.72,1.4,1.62,1.28,1.38,0.34,0.92,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.08,3.92,11.16,1.18,64.0,0.0,1.42,0.0,0.0,35.48,animal food product
260.0,9.3,3.9,19.0,578.0,0.0,77.0,45.0,3.064,0.18,1.225,0.453,295.0,60.0,0.0,69.0,0.0,47.0,0.68,0.122,0.0,0.0,1.14,1.14,7.5,166.0,0.125,1.97,24.0,0.338,203.0,138.0,27.6,1.24,11.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.74,1.9,5.32,1.76,0.1,1.49,0.26,1.28,0.44,9.25,3.871,2.476,1.97,19.0,0.0,2.32,0.0,0.0,44.16,animal food product
219.0,4.7,0.8,0.0,678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.4,0.0,0.0,142.0,96.0,0.0,0.7,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,2.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.8,1.0,2.7,0.0,0.0,2.1,0.0,0.0,47.4,animal food product
230.0,6.5,2.4,20.0,423.0,29.1,54.0,43.0,3.462,0.0,0.307,0.412,0.0,0.0,0.0,0.0,0.0,115.0,0.44,0.102,0.1,10.0,0.29,0.29,1.7,196.0,0.076,2.15,21.0,0.286,197.0,203.0,11.8,1.21,10.28,0.411,0.475,0.708,0.128,2.345,0.386,0.312,0.0,0.445,0.827,0.619,0.218,0.465,0.886,0.48,0.386,0.143,0.306,0.52,32.52,1.7,7.6,0.0,0.0,0.0,0.0,0.0,0.0,6.53,2.389,1.551,1.403,20.0,0.0,2.19,0.0,0.0,48.48,animal food product
