calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,General_category
229,3.5,0.9,23,393.00,0.00,92.00,0.00,5.700,0.00,0.490,0.430,1429.00,429.00,0.00,0.00,0.00,0.00,1.70,0.570,0.00,2.00,0.00,0.00,0.00,378.00,0.00,6.40,17.00,0.00,286.00,88.00,0.00,0.50,6.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.90,1.3,4.50,0.00,0.00,0.00,0.00,0.00,0.00,3.50,0.900,0.800,1.400,23.00,0.00,0.00,0.00,0.00,41.80,food product by consumer group
307,23,7.1,917,70.00,669.3,174.00,0.00,0.037,3.287,0.523,0.140,1103.00,316.00,38.00,0.00,33.00,967.00,1.64,0.398,0.00,123.00,2.25,2.25,0.7,124.00,0.012,3.70,10.00,0.080,404.00,105.00,53.5,3.06,13.87,0.703,0.917,1.337,0.227,1.690,0.417,0.353,0.00,0.697,1.180,1.033,0.360,0.607,0.547,1.137,0.627,0.190,0.507,0.790,10.95,0.00,10.30,0.10,0.00,0.10,0.00,0.00,10.10,22.82,7.110,8.885,3.856,917.00,0.00,1.13,0.00,0.00,51.23,animal food product
3,0.1,0.00,0.00,260.00,1.4,0.00,0.00,0.049,0.004,0.003,0.002,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.003,0.00,0.00,0.01,0.01,0.00,4.00,0.010,0.02,2.00,0.006,3.00,6.00,0.3,0.01,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.040,0.033,0.003,0.00,0.00,0.77,0.00,0.00,98.69,multi-component food product
18,0.2,0.00,0.00,280.00,0.00,9.00,0.00,0.460,0.036,0.090,0.031,1852.00,93.00,0.00,0.00,0.00,0.00,0.00,0.070,10.5,0.00,0.00,0.00,0.00,78.00,0.114,0.77,67.00,0.307,37.00,488.00,0.9,0.17,1.49,0.057,0.057,0.077,0.010,0.219,0.046,0.023,0.00,0.053,0.091,0.065,0.014,0.058,0.070,0.045,0.050,0.016,0.024,0.072,3.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,93.52,animal food product
387,3.3,1,2,44.00,0.00,9.00,3.00,0.210,0.290,0.070,0.056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.010,0.00,0.00,0.65,0.65,9.6,36.00,0.130,0.80,22.00,0.047,57.00,116.00,2.2,0.40,1.59,0.060,0.060,0.200,0.000,0.280,0.050,0.030,0.000,0.060,0.110,0.090,0.010,0.050,0.030,0.080,0.040,0.190,0.020,0.080,87.73,0.1,56.32,0.40,0.00,7.85,2.18,6.54,39.35,3.31,0.967,1.929,0.266,2.00,0.00,0.68,7.00,75.00,6.69,multi-component food product
60,0.1,0.00,0.00,18.00,13.1,10.00,0.00,0.384,0.408,0.034,0.026,6636.00,332.00,0.00,3982.00,0.00,0.00,0.00,0.113,9.6,0.00,0.52,0.52,1.5,16.00,0.100,0.39,12.00,0.00,24.00,243.00,0.7,0.11,1.10,0.059,0.053,0.195,0.015,0.115,0.049,0.025,0.00,0.050,0.076,0.043,0.023,0.061,0.054,0.050,0.053,0.021,0.040,0.071,14.00,1.5,4.24,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.021,0.004,0.044,0.00,0.00,0.70,0.00,0.00,84.10,multi-component food product
222,12,0.8,0.00,838.00,4.0,2.00,0.00,0.467,0.000,0.052,0.024,541.00,27.00,0.00,289.00,70.00,124.00,0.00,0.055,4.8,0.00,1.00,1.00,17.8,11.00,0.160,0.73,8.00,0.110,16.00,107.00,1.6,0.20,0.58,0.026,0.011,0.093,0.003,0.254,0.008,0.008,0.00,0.010,0.015,0.017,0.002,0.016,0.011,0.015,0.014,0.003,0.007,0.010,31.22,1.5,16.86,0.00,0.00,0.00,0.00,0.00,0.00,11.52,0.842,4.518,3.852,0.00,0.00,2.40,0.00,0.00,54.28,food product component
401,11,2.4,0.00,342.00,0.00,323.00,0.00,16.100,0.00,1.370,1.210,3333.00,0.00,0.00,0.00,0.00,0.00,5.00,1.610,48.0,133.00,0.00,0.00,0.00,57.00,0.00,14.50,32.00,0.00,97.00,245.00,0.00,5.00,7.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.40,9.4,31.70,0.00,0.00,0.00,0.00,0.00,0.00,10.89,2.400,2.900,5.500,0.00,0.00,1.89,0.00,0.00,3.50,plant food product
100,2.3,0.7,0.00,166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,6.0,0.00,0.00,0.00,0.00,61.00,0.00,1.00,35.00,0.00,116.00,191.00,0.00,0.81,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,2.6,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,0.660,0.740,0.760,0.00,0.00,0.00,0.00,0.00,76.00,multi-component food product
33,0.2,0.00,0.00,239.00,9.4,14.00,0.00,0.600,0.075,0.020,0.076,37.00,2.00,0.00,22.00,0.00,0.00,0.00,0.086,1.3,0.00,0.41,0.41,2.9,6.00,0.059,0.25,11.00,0.113,15.00,123.00,0.1,0.12,0.83,0.042,0.046,0.134,0.004,0.152,0.033,0.019,0.00,0.036,0.052,0.039,0.009,0.035,0.034,0.034,0.030,0.008,0.022,0.043,8.14,2.5,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.044,0.020,0.093,0.00,0.00,1.13,0.00,0.00,89.67,animal food product
71,0.3,0.1,0.00,246.00,27.0,58.00,0.00,0.724,0.588,0.051,0.083,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.093,13.0,0.00,1.00,1.00,1.0,37.00,0.138,0.58,29.00,0.294,69.00,367.00,1.7,0.26,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.01,4.0,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.050,0.112,0.047,0.00,0.00,1.13,0.00,0.00,80.24,animal food product
113,1.1,0.2,11,134.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,17.0,0.00,0.00,0.00,0.00,22.00,0.00,0.80,32.00,0.00,104.00,0.00,0.00,0.70,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,2.5,8.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13,0.240,0.410,0.440,11.00,0.00,0.00,0.00,0.00,68.00,multi-component food product
53,0.1,0.00,0.00,1.00,3.3,2.00,0.00,0.445,0.069,0.038,0.023,38.00,2.00,0.00,23.00,0.00,7.00,0.00,0.070,1.0,0.00,0.08,0.08,3.3,28.00,0.110,0.29,10.00,0.088,10.00,103.00,0.1,0.12,0.40,0.024,0.009,0.094,0.007,0.039,0.014,0.006,0.00,0.012,0.017,0.016,0.003,0.010,0.026,0.020,0.013,0.003,0.017,0.015,13.99,2.2,11.79,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.020,0.022,0.048,0.00,0.00,0.30,0.00,0.00,85.21,food product by meal type
377,3,1.8,0.00,876.00,115.3,14.00,0.00,1.084,3.826,1.400,0.267,15.00,4.00,0.00,1.00,0.00,9.00,1.18,0.318,0.00,0.00,0.04,0.04,0.7,576.00,0.730,4.96,208.00,0.665,893.00,2702.00,16.9,3.44,15.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.93,7.5,37.65,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.777,0.979,0.088,0.00,0.00,6.18,19.00,658.00,3.40,plant food product
452,27,13,5,305.00,10.6,72.00,53.00,2.404,0.337,0.138,0.211,2.00,0.00,0.00,1.00,0.00,6.00,0.16,0.038,0.3,0.00,1.15,1.15,15.2,183.00,0.062,1.37,14.00,0.292,131.00,102.00,13.0,0.53,4.45,0.180,0.218,0.297,0.093,1.553,0.172,0.126,0.00,0.226,0.410,0.215,0.104,0.264,0.568,0.273,0.176,0.068,0.189,0.255,48.60,1.2,25.70,1.11,0.00,3.05,0.00,1.43,20.11,26.61,12.649,8.723,3.676,5.00,0.00,1.36,0.00,0.00,18.98,plant food product
415,17,4.5,0.00,191.00,0.00,0.00,0.00,0.011,0.002,0.006,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,3.00,0.020,0.16,2.00,0.013,3.00,35.00,0.5,0.02,0.10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.32,0.00,63.54,0.00,0.00,0.00,0.00,0.00,0.00,17.30,4.545,3.755,6.153,0.00,0.00,0.23,0.00,0.00,15.10,animal food product
179,8.8,1.8,0.00,526.00,24.4,97.00,89.00,1.247,0.060,0.092,0.117,340.00,78.00,0.00,58.00,0.00,0.00,0.01,0.038,0.8,0.00,0.85,0.85,8.8,26.00,0.069,0.94,13.00,0.114,34.00,62.00,30.7,0.23,2.90,0.139,0.128,0.161,0.057,0.793,0.110,0.073,0.00,0.108,0.256,0.085,0.055,0.145,0.296,0.142,0.095,0.031,0.101,0.132,21.90,2.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.80,1.755,3.856,2.706,0.00,0.00,1.50,0.00,0.00,64.90,food product component
291,1.5,0.3,9,572.00,0.00,86.00,69.00,5.424,0.025,0.378,0.519,14.00,4.00,0.00,0.00,0.00,0.00,0.02,0.030,0.00,0.00,0.00,0.00,0.00,47.00,0.147,3.36,20.00,0.638,81.00,82.00,28.2,0.71,9.80,0.307,0.348,0.413,0.221,3.384,0.336,0.209,0.00,0.369,0.684,0.204,0.176,0.486,1.134,0.483,0.268,0.114,0.273,0.417,57.90,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.263,0.195,0.610,9.00,0.00,1.90,0.00,0.00,28.80,plant food product
35,0.4,0.1,0.00,262.00,40.1,108.00,0.00,0.553,0.616,0.123,0.063,1548.00,77.00,0.00,929.00,0.00,1080.00,0.00,0.200,64.9,0.00,1.45,1.45,141.1,40.00,0.061,0.67,21.00,0.194,67.00,293.00,1.6,0.45,2.38,0.114,0.200,0.329,0.031,0.549,0.101,0.063,0.00,0.092,0.147,0.155,0.043,0.116,0.111,0.129,0.096,0.034,0.060,0.138,7.18,3.3,1.39,0.74,0.00,0.49,0.00,0.00,0.08,0.41,0.079,0.040,0.170,0.00,0.00,0.77,0.00,0.00,89.25,animal food product
